Name,Percentage,Normalized Average,Normalized Std Dev
Scaffold-1,0.05,0.9817241379310344,0.0054997629218424
Scaffold-1,0.1,0.9531226053639846,0.0126664987600966
Scaffold-1,0.15,0.9143358876117496,0.0229415819387666
Scaffold-1,0.2,0.8280842911877394,0.124831257869057
Scaffold-1,0.25,0.6867752234993615,0.2085527894320867
Scaffold-1,0.3,0.4948659003831417,0.2200745285245265
Scaffold-1,0.35,0.2066922094508301,0.1943833540144588
Scaffold-1,0.4,0.0865325670498084,0.0963199818211692
Scaffold-1,0.45,0.0482630906768837,0.0534329014495245
Scaffold-1,0.5,0.025191570881226,0.016390926954998
Scaffold-1,0.55,0.0197701149425287,0.010722608201678
Scaffold-1,0.6,0.0173946360153256,0.0098166584037035
Scaffold-2,0.05,0.9999925317401046,7.468259895444354e-05
Scaffold-2,0.1,0.9997684839432412,0.0011948037071935
Scaffold-2,0.15,0.9989693801344286,0.0020522244307219
Scaffold-2,0.2,0.9968483943241224,0.00329674950719
Scaffold-2,0.25,0.9823300970873786,0.099013855592474
Scaffold-2,0.3,0.979450969742232,0.0135051131546937
Scaffold-2,0.35,0.9245166803969728,0.1931165707026497
Scaffold-2,0.4,0.8658228041029705,0.2250228863801753
Scaffold-2,0.45,0.7762244834453572,0.2535092889776231
Scaffold-2,0.5,0.60526356733881,0.294236487757078
Scaffold-2,0.55,0.2799246818044587,0.2427043241444249
Scaffold-2,0.6,0.1023412126369904,0.1283006006771505
Scaffold-3,0.05,0.9775324675324676,0.1408841626285318
Scaffold-3,0.1,0.9503174603174604,0.1956812269469935
Scaffold-3,0.15,0.9547128129602356,0.1392491724643668
Scaffold-3,0.2,0.7971027568922306,0.3466005235393189
Scaffold-3,0.25,0.7292808551992225,0.3472496961459373
Scaffold-3,0.3,0.4736255411255411,0.3950380091915383
Scaffold-3,0.35,0.301055900621118,0.289008859870913
Scaffold-3,0.4,0.0354249547920434,0.0868355777845108
Scaffold-3,0.45,0.0161843711843711,0.0381633970955606
Scaffold-3,0.5,0.004743351886209,0.0084418079794731
Scaffold-3,0.55,0.003287037037037,0.005019943440903
Scaffold-3,0.6,0.0014285714285714,0.0016781478586629
