Name,Percentage,Average ReachableModules,Standard Deviation,Normalized Average,Normalized Std Dev
Scaffold-1,0.05,1537.38,8.612628735605277,0.9817241379310345,0.0054997629218424505
Scaffold-1,0.1,1492.59,19.83573705831131,0.9531226053639846,0.012666498760096621
Scaffold-1,0.15,1431.85,35.92651731610854,0.9143358876117497,0.022941581938766626
Scaffold-1,0.2,1296.78,195.4857498229433,0.8280842911877394,0.12483125786905702
Scaffold-1,0.25,1075.49,326.59366825064774,0.6867752234993615,0.2085527894320867
Scaffold-1,0.3,774.96,344.6367116694085,0.49486590038314177,0.2200745285245265
Scaffold-1,0.35,323.68,304.4043323866426,0.20669220945083014,0.19438335401445886
Scaffold-1,0.4,135.51,150.83709153195107,0.08653256704980843,0.09631998182116927
Scaffold-1,0.45,75.58,83.6759236699554,0.04826309067688378,0.05343290144952452
Scaffold-1,0.5,39.45,25.668191611526915,0.025191570881226054,0.01639092695499803
Scaffold-1,0.55,30.96,16.791604443827868,0.019770114942528737,0.010722608201678077
Scaffold-1,0.6,27.24,15.37288706019974,0.01739463601532567,0.009816658403703538
Scaffold-2,0.05,1338.99,0.0999999999999999,0.9999925317401046,7.468259895444354e-05
Scaffold-2,0.1,1338.69,1.599842163932102,0.9997684839432412,0.0011948037071935042
Scaffold-2,0.15,1337.62,2.74792851273666,0.9989693801344286,0.002052224430721927
Scaffold-2,0.2,1334.78,4.41434759012752,0.9968483943241224,0.0032967495071900823
Scaffold-2,0.25,1315.34,132.5795526383227,0.9823300970873786,0.09901385559247401
Scaffold-2,0.3,1311.4848484848485,18.083346514134995,0.9794509697422319,0.013505113154693797
Scaffold-2,0.35,1237.9278350515465,258.583088170848,0.9245166803969728,0.19311657070264973
Scaffold-2,0.4,1159.3367346938776,301.30564486305474,0.8658228041029705,0.2250228863801753
Scaffold-2,0.45,1039.3645833333333,339.44893794103734,0.7762244834453572,0.2535092889776231
Scaffold-2,0.5,810.4479166666666,393.98265710672746,0.60526356733881,0.294236487757078
Scaffold-2,0.55,374.8191489361702,324.98109002938503,0.27992468180445873,0.24270432414442497
Scaffold-2,0.6,137.03488372093022,171.79450430670454,0.10234121263699046,0.12830060067715052
Scaffold-3,0.05,2052.818181818182,295.85674151991685,0.9775324675324676,0.14088416262853184
Scaffold-3,0.1,1995.6666666666667,410.9305765886864,0.9503174603174603,0.19568122694699353
Scaffold-3,0.15,2004.8969072164948,292.4232621751703,0.9547128129602356,0.1392491724643668
Scaffold-3,0.2,1673.9157894736843,727.8610994325697,0.7971027568922306,0.3466005235393189
Scaffold-3,0.25,1531.4897959183672,729.2243619064684,0.7292808551992225,0.3472496961459373
Scaffold-3,0.3,994.6136363636364,829.5798193022306,0.4736255411255411,0.39503800919153836
Scaffold-3,0.35,632.2173913043479,606.9186057289174,0.30105590062111803,0.28900885987091307
Scaffold-3,0.4,74.39240506329114,182.35471334747277,0.0354249547920434,0.08683557778451084
Scaffold-3,0.45,33.98717948717949,80.14313390067743,0.016184371184371184,0.03816339709556068
Scaffold-3,0.5,9.96103896103896,17.727796756893547,0.004743351886209029,0.008441807979473118
Scaffold-3,0.55,6.902777777777778,10.541881225896432,0.003287037037037037,0.005019943440903063
Scaffold-3,0.6,3.0,3.524110503192213,0.0014285714285714286,0.0016781478586629585
