Name,Percentage,Average ReachableModules,Standard Deviation
Scaffold-1,0.05,1537.38,8.612628735605277
Scaffold-1,0.1,1492.59,19.83573705831131
Scaffold-1,0.15,1431.85,35.92651731610854
Scaffold-1,0.2,1296.78,195.4857498229433
Scaffold-1,0.25,1075.49,326.59366825064774
Scaffold-1,0.3,774.96,344.6367116694085
Scaffold-1,0.35,323.68,304.4043323866426
Scaffold-1,0.4,135.51,150.83709153195107
Scaffold-1,0.45,75.58,83.6759236699554
Scaffold-1,0.5,39.45,25.668191611526915
Scaffold-1,0.55,30.96,16.791604443827868
Scaffold-1,0.6,27.24,15.37288706019974
Scaffold-2,0.05,1338.99,0.09999999999999998
Scaffold-2,0.1,1338.69,1.5998421639321019
Scaffold-2,0.15,1337.62,2.74792851273666
Scaffold-2,0.2,1334.78,4.41434759012752
Scaffold-2,0.25,1315.34,132.5795526383227
Scaffold-2,0.3,1311.4848484848485,18.083346514134995
Scaffold-2,0.35,1237.9278350515465,258.58308817084793
Scaffold-2,0.4,1159.3367346938776,301.30564486305474
Scaffold-2,0.45,1039.3645833333333,339.44893794103734
Scaffold-2,0.5,810.4479166666666,393.98265710672746
Scaffold-2,0.55,374.8191489361702,324.98109002938503
Scaffold-2,0.6,137.03488372093022,171.79450430670454
Scaffold-3,0.05,2095.56,2.965525827630479
Scaffold-3,0.1,2079.16,7.210710328001217
Scaffold-3,0.15,2007.43,287.5136274328505
Scaffold-3,0.2,1886.71,434.6033671840069
Scaffold-3,0.25,1778.3737373737374,412.22657198460075
Scaffold-3,0.3,1503.09,504.9315804236163
Scaffold-3,0.35,916.0714285714286,551.0928832596021
Scaffold-3,0.4,194.30927835051546,283.67327746990105
Scaffold-3,0.45,56.45744680851064,83.48493713775551
Scaffold-3,0.5,21.729166666666668,25.478361992572466
Scaffold-3,0.55,10.613636363636363,10.478694112485119
Scaffold-3,0.6,7.351648351648351,8.879906939419312
